          234         464
     2.0642  -122.9862    -0.3509nan        nan        nan        
     9.1640   -11.3786    -7.2468    -0.4824     0.0146     0.8758
     3.4359   -12.0452    -8.1781     0.5208     0.0423     0.8526
    -0.9451    -5.0273    -1.9767     0.7186    -0.2912    -0.6316
     1.2192    -4.2382     1.2331    -0.0423     0.8371    -0.5454
     5.6052    -3.9571     3.9462    -0.1434    -0.0446    -0.9887
     9.1559    -2.9640    -0.2178    -0.7357    -0.0740    -0.6733
    12.3254    -2.7398    -4.8402    -0.8989     0.4382    -0.0088
     8.8848    -2.2320    -8.6094    -0.1118     0.0101     0.9937
     2.9036    -4.2916    -8.3305     0.6732    -0.7350     0.0816
    -0.8384    -5.5504    -0.1911     0.2061     0.9774     0.0474
     1.4840    -4.2153     3.4271     0.2599     0.6201    -0.7402
     6.5432    -4.1847     1.8694    -0.4686    -0.0755    -0.8802
     9.3441    -2.3714    -0.2449    -0.7850     0.2094    -0.5830
    12.4741    -2.6993    -4.9985    -0.9046     0.4259     0.0165
     9.0184    -3.1190    -7.7382    -0.2873    -0.6524     0.7013
     3.4207    -4.8182    -7.5460     0.5050    -0.4262     0.7505
    -4.7903    -0.8993    -1.1438     0.6643     0.7421    -0.0895
    -2.9784    -0.3863     2.1473     0.5175     0.3874    -0.7630
    -0.0797     0.3964     4.1151     0.3035     0.4788    -0.8238
     5.2430     1.1746     6.8409    -0.2277     0.5449    -0.8070
     6.7613     3.2714     5.0762    -0.8171     0.2348    -0.5266
     8.6023     3.9137     1.4140    -0.8554     0.2157    -0.4709
    11.3567     4.0814    -2.4150    -0.8816     0.1545    -0.4460
    12.2988     4.4138    -6.7904    -0.9058     0.1438     0.3985
    10.4130     4.2927    -7.1092    -0.5055     0.1550     0.8488
     8.3056     2.9062    -9.1064    -0.4736     0.1655     0.8650
     3.2781     1.8104    -9.6701     0.0618     0.3196     0.9455
    -2.2805     0.8375    -5.7049     0.4585     0.4757     0.7507
    -5.2132     0.3976    -3.4708     0.5889     0.6154     0.5240
    -8.3395     1.1179     0.2125     0.7532     0.5719    -0.3249
    -5.4630     1.4666     0.9838     0.4877     0.3817    -0.7851
    -2.4919     2.6605     5.3915     0.3613     0.3574    -0.8612
     4.5062     4.5800     8.6110    -0.1034    -0.0313    -0.9941
     7.3171     6.6248     6.6929    -0.7244     0.0512    -0.6875
     8.9813     5.6830     2.0247    -0.8826     0.0160    -0.4698
    12.0148     7.3626    -1.7462    -0.9151    -0.0774    -0.3956
    12.5567     7.7419    -6.9436    -0.8869    -0.2132     0.4098
    10.5107     8.5189    -8.3842    -0.6771    -0.0657     0.7329
     6.8758     7.5469   -10.3938    -0.3040     0.0302     0.9522
     1.0652     5.5607   -11.2554     0.1180     0.2859     0.9510
    -4.7673     4.6204    -7.6666     0.4247     0.5107     0.7475
    -7.2524     2.3335    -3.7382     0.5521     0.6554     0.5154
    -9.5976     3.8349    -0.8143     0.9331     0.0096    -0.3594
    -8.0943     5.1866     4.3923     0.6717    -0.1591    -0.7235
    -3.3758     5.4569     3.5586     0.3490    -0.2796    -0.8944
     3.3131     7.2803     7.1135     0.2030    -0.1995    -0.9586
     6.2075     8.9681     7.0874    -0.5631    -0.5644    -0.6036
     7.8471     8.6388     2.5292    -0.6891    -0.5506    -0.4711
    10.4754    10.1839    -1.6068    -0.6616    -0.6536    -0.3676
    11.0747    10.9156    -4.8451    -0.6964    -0.7175    -0.0133
     9.7166    11.6607    -8.5236    -0.4919    -0.6528     0.5761
     5.7761     9.8065   -10.2705    -0.2228    -0.4482     0.8658
     0.7197     9.1664   -11.7103     0.1290    -0.2523     0.9590
    -6.1553     7.5195    -8.9581     0.4826     0.0868     0.8715
    -9.9262     5.9426    -5.4324     0.8964     0.1090     0.4297
    -8.5376     8.0868    -2.4043     0.8687    -0.4678    -0.1630
    -7.4084     8.2231     0.9253     0.7540    -0.4327    -0.4942
    -4.2296     9.3623     4.0801     0.5605    -0.2567    -0.7874
     2.1385    11.4340     5.2635     0.0468    -0.7666    -0.6404
     3.2517    11.1573     4.2933    -0.5430    -0.8270    -0.1457
     5.4943    11.2937     1.0791    -0.3816    -0.8566    -0.3472
     7.3859    11.6985    -2.7627    -0.3427    -0.8908    -0.2982
     7.2514    12.8940    -5.3693    -0.3507    -0.9069    -0.2335
     5.8446    13.4163    -5.1318    -0.1835    -0.9736     0.1356
     3.9540    13.0646    -7.5153    -0.0774    -0.8921     0.4452
     0.5459    11.6507    -9.3292     0.2208    -0.7443     0.6303
    -4.8657    10.3902    -8.6089     0.6791    -0.4159     0.6048
    -8.8975     8.3140    -4.4534     0.8465    -0.5297     0.0537
    -6.8392    10.6670    -2.2935nan        nan        nan        
    -6.8641    10.0909     0.2644nan        nan        nan        
    -4.6323    10.7139     2.5061nan        nan        nan        
     1.1720    12.5995     2.1330nan        nan        nan        
     0.7635    12.4927     2.2041nan        nan        nan        
     1.5416    12.5372     1.3613nan        nan        nan        
     1.6583    12.9392    -0.1618nan        nan        nan        
     0.4236    13.2747    -1.4913nan        nan        nan        
    -0.2397    13.2129    -3.7309nan        nan        nan        
    -3.6610    13.1020    -3.4498nan        nan        nan        
    -6.1475    12.5619    -2.8259nan        nan        nan        
    -5.6412    12.0230    -4.1568nan        nan        nan        
    -5.7833    12.0268    -3.1343nan        nan        nan        
    -4.2789    12.5808    -0.8005nan        nan        nan        
     4     2     3     1     1
     6     3     4     4     1     1     1
     4     4     5     1     1
     4     5     6     1     1
     4     6     7     1     1
     4     7     8     1     1
     4     8     9     1     1
     4     9    10     1     1
     4    10    11     1     1
     4    11    12     1     1
     4    12    13     1     1
     4    13     2     1     1
     3    14     3     2
     3    14    15     3
     3    15     4     3
     4    15    16     4     4
     3    16    17     4
     3    17     5     4
     3    17    18     5
     3    18     6     5
     3    18    19     6
     3    19     7     6
     3    19    20     7
     3    20     8     7
     3    20    21     8
     3    21     9     8
     3    21    22     9
     3    22    10     9
     3    22    23    10
     3    23    11    10
     3    23    24    11
     3    24    12    11
     3    24    25    12
     3    25    13    12
     3    25    26    13
     3    26     2    13
     3    26    14     2
     3    27    15    14
     3    27    28    15
     3    28    16    15
     3    28    29    16
     3    29    17    16
     3    29    30    17
     3    30    18    17
     3    30    31    18
     3    31    19    18
     3    31    32    19
     3    32    20    19
     3    32    33    20
     3    33    21    20
     3    33    34    21
     3    34    22    21
     3    34    35    22
     3    35    23    22
     3    35    36    23
     3    36    24    23
     3    36    37    24
     3    37    25    24
     3    37    38    25
     3    38    26    25
     3    38    39    26
     3    39    14    26
     3    39    27    14
     3    40    28    27
     3    40    41    28
     3    41    29    28
     3    41    42    29
     3    42    30    29
     3    42    43    30
     3    43    31    30
     3    43    44    31
     3    44    32    31
     3    44    45    32
     3    45    33    32
     3    45    46    33
     3    46    34    33
     3    46    47    34
     3    47    35    34
     3    47    48    35
     3    48    36    35
     3    48    49    36
     3    49    37    36
     3    49    50    37
     3    50    38    37
     3    50    51    38
     3    51    39    38
     3    51    52    39
     3    52    27    39
     3    52    40    27
     3    53    41    40
     3    53    54    41
     3    54    42    41
     3    54    55    42
     3    55    43    42
     3    55    56    43
     3    56    44    43
     3    56    57    44
     3    57    45    44
     3    57    58    45
     3    58    46    45
     3    58    59    46
     3    59    47    46
     3    59    60    47
     3    60    48    47
     3    60    61    48
     3    61    49    48
     3    61    62    49
     3    62    50    49
     3    62    63    50
     3    63    51    50
     3    63    64    51
     3    64    52    51
     3    64    65    52
     3    65    40    52
     3    65    53    40
     3    66    54    53
     3    66    67    54
     3    67    55    54
     3    67    68    55
     3    68    56    55
     3    68    69    56
     3    69    57    56
     3    69    70    57
     3    70    58    57
     3    70    71    58
     3    71    59    58
     3    71    72    59
     3    72    60    59
     3    72    73    60
     3    73    61    60
     3    73    74    61
     3    74    62    61
     3    74    75    62
     3    75    63    62
     3    75    76    63
     3    76    64    63
     3    76    77    64
     3    77    65    64
     3    77    78    65
     3    78    53    65
     3    78    66    53
     3    79    67    66
     3    79    80    67
     3    80    68    67
     3    80    81    68
     3    81    69    68
     3    81    82    69
     3    82    70    69
     3    82    83    70
     3    83    71    70
     3    83    84    71
     3    84    72    71
     3    84    85    72
     3    85    73    72
     3    85    86    73
     3    86    74    73
     3    86    87    74
     3    87    75    74
     3    87    88    75
     3    88    76    75
     3    88    89    76
     3    89    77    76
     3    89    90    77
     3    90    78    77
     3    90    91    78
     3    91    66    78
     3    91    79    66
     3    92    80    79
     3    92    93    80
     3    93    81    80
     3    93    82    81
     3    93    94    82
     3    94    83    82
     3    94    84    83
     3    94    95    84
     3    95    85    84
     3    95    86    85
     3    95    96    86
     3    96    87    86
     3    96    88    87
     3    96    97    88
     3    97    89    88
     3    97    98    89
     3    98    90    89
     3    98    91    90
     3    98    79    91
     3    98    92    79
     3    99    93    92
     3    99   100    93
     3   100    94    93
     3   100   101    94
     3   101    95    94
     3   101   102    95
     3   102    96    95
     3   102   103    96
     3   103    97    96
     3   103   104    97
     3   104    98    97
     3   104   105    98
     3   105    92    98
     3   105    99    92
     3   106   100    99
     3   106   107   100
     3   107   101   100
     3   107   108   101
     3   108   102   101
     3   108   109   102
     3   109   103   102
     3   109   110   103
     3   110   104   103
     3   110   111   104
     3   111   105   104
     3   111   112   105
     3   112    99   105
     3   112   106    99
     3   114   107   106
     3   115   108   107
     3   116   109   108
     3   117   110   109
     3   118   111   110
     3   119   112   111
     3   113   106   112
     3   113   114   106
     3   114   115   107
     3   115   116   108
     3   116   117   109
     3   117   118   110
     3   118   119   111
     3   119   113   112
     3   120   114   113
     3   120   121   114
     3   121   115   114
     3   121   122   115
     3   122   116   115
     3   122   123   116
     3   123   117   116
     3   123   124   117
     3   124   118   117
     3   124   125   118
     3   125   119   118
     3   125   126   119
     3   126   113   119
     3   126   120   113
     3   127   121   120
     3   127   128   121
     3   128   122   121
     3   128   129   122
     3   129   123   122
     3   129   130   123
     3   130   124   123
     3   130   131   124
     3   131   125   124
     3   131   132   125
     3   132   126   125
     3   132   133   126
     3   133   120   126
     3   133   127   120
     3   134   128   127
     3   134   135   128
     3   135   129   128
     3   135   136   129
     3   136   130   129
     3   136   137   130
     3   137   131   130
     3   137   138   131
     3   138   132   131
     3   138   139   132
     3   139   133   132
     3   139   140   133
     3   140   127   133
     3   140   134   127
     3   141   135   134
     3   141   142   135
     3   142   136   135
     3   142   143   136
     3   143   137   136
     3   143   144   137
     3   144   138   137
     3   144   145   138
     3   145   139   138
     3   145   146   139
